nombre,poblacion,superficie,continente
Argentina,46000000,2780400,america del sur
Brasil,216000000,8515767,america del sur
USA,341000000,9833520,america del norte
Canadá,39000000,9984670,america del norte
México,129000000,1964375,america del norte
España,48000000,505990,europa
Francia,65000000,643801,europa
Chile,2000000,2800000,America del sur
Rusia,143000000,17098300,Europa y Asia
Australia,27200000,7741200,Oceania
India,1450900000,3287300,Asia
Tailandia,69600000,513120,Asia
Argelia,47800000,2381700,Africa
Sudan,43000000,1861484,Africa
